,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2020-01-31,143.37,120.8857624095908,272.85117081670984,243.1748189262775,427.1731627628733,268.10107832106394,312.672672542891,317.2499695532233,307.46684801088065,181.47436627811933,108.2356410750352,289.79120017741275,49.68243042833665,142.09923837512446,283.7888419064827,73.43748194436304,183.595304956786,152.4635323904067,189.64676287411888,183.53461259618268,100.02727878687637
2020-02-29,144.43,121.0839195482017,252.21952760312217,224.1175376076193,393.3818047949933,245.93429589873543,284.48541750690504,301.167780135295,305.5491329479769,183.3391953948965,108.77790509932734,286.5488930074021,46.15179726028319,128.69673219016752,272.55756413800754,72.85461719334702,180.86436690008983,149.76636687422186,186.89366818898077,180.35313365464825,99.96476173763457
2020-03-31,137.03,117.53690676706628,239.9620963194424,205.50241256425625,348.03828631908334,215.4411747222368,227.58496018181816,257.2591621318912,286.4467868072084,180.07886536908697,108.31835595000965,284.5183429670194,37.96308817474397,99.08423310915208,235.69734066836864,72.46209263625559,162.36935652496976,134.09118930252126,158.54293893007255,152.60422922588225,99.90228376154856
2020-04-30,139.55,118.52769246012087,252.3912389076617,215.94189872486257,369.4979522341356,236.6178284116087,255.5305851715976,278.0090520456658,294.43046582794966,182.67468530637117,108.96220138738563,309.5961190527344,37.31458892451033,108.40733580602924,266.607284448446,74.00592286518747,170.18044107577794,142.67602545505127,165.39193813095875,161.61460551584622,99.83984483419759
2020-05-31,139.73,118.8348360249678,259.6031136983223,225.03240930545485,393.4038930560029,244.720036667508,269.8798065462883,276.4027061470167,291.0642638558313,183.0321554717804,109.16417264272536,313.59767727735726,39.81782495140832,113.49010682734098,281.4273995197484,72.6204290551533,175.07072370248534,145.0249369905774,175.64373414466402,169.5809646634275,99.77744493117622
2020-06-30,139.98,119.23115030218965,263.63048575220154,232.0848444710755,398.5246882333993,236.81473123303223,260.9843385770317,279.83145478456123,291.80550833049983,183.782268171978,109.30934568859884,318.6482755539077,41.15278365058997,111.30826477627022,296.8369894182952,71.30350395202626,173.92160010619253,142.5969427316023,180.74369979233916,172.71263962496266,99.71508402809424
2020-07-31,141.19,119.61755672248093,263.02334849763207,234.5738118515248,400.87248630988,238.46729995616568,260.56986617740165,293.16452493642,296.9874192451547,185.53583370900063,109.50138718703889,337.2372560784528,41.32349181120303,108.68871298747054,304.6605355740204,69.49765067849648,182.59607129818392,143.11041539598722,187.5834280389911,171.34918299347245,99.65276210057668
2020-08-31,140.07,119.62746457941148,268.3540305518929,239.0725346116245,423.2837881367631,256.42343900824403,277.6136329373223,302.12731604208625,293.1995919755185,184.04323724506224,109.42602033217024,334.3330466798976,43.006356980665046,109.75967414945592,331.0300765871715,67.92251824948792,182.42208310204552,142.30670258081605,188.80738397934056,171.66127080791676,99.59047912426382
2020-09-30,141.19,119.89497671653622,269.7489199146955,239.91100318521555,424.045833141595,252.7352115028346,277.25458526683656,303.49914719787193,303.4886093165589,184.56071692187277,109.3873935778304,326.0030013815626,42.20893212697204,108.42371735146727,328.1354455235179,68.46660692345439,180.5895320725216,143.45227999485763,184.7400629080577,171.03505390766625,99.52823507481115
2020-10-31,141.37,120.02377885663331,254.26903981582373,228.19718902099305,403.997054898532,244.3116274003916,276.40681413619706,308.96661210579686,298.1230873852431,184.41408281854527,109.37855609418968,323.67054236587825,40.803269362804286,106.91981402708431,328.0983936974124,66.43158373773022,181.1863727370233,143.74713599378987,183.7629333849095,169.91959681369175,99.4660299278894
