,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2022-03-14,96.99843534583933,94.95374285201216,94.96748450486216,94.58000517176436,97.62799902728385,95.53525732649639,95.8429521444454
2022-03-15,96.66418941947892,94.6183870848898,94.70821992165307,94.34183402850206,97.2853786204957,95.29472699856743,95.64035323270224
2022-03-16,98.16727603823284,96.24216677927558,96.32418275397019,95.99403045774741,98.78194179147548,96.90711410037046,97.2365565354153
2022-03-17,99.03533537972328,96.9363530797827,96.98009596515351,96.63482430558311,99.65869582573907,97.56715600495134,97.88660300109507
2022-03-18,99.52201418764216,97.46665806306596,97.48930807679862,97.14543995484675,100.13989694959282,98.07948361660111,98.38546752387542
2022-03-21,99.86646175471726,97.3970902619901,97.49963596055198,97.20450658054915,100.49661322303452,98.14160456176573,98.47361282318947
2022-03-22,100.25640831134454,97.41192513439503,97.49976986137014,97.18697560458217,100.91927477955021,98.22754636491611,98.56905642117232
2022-03-23,100.06407011359737,97.22001964142967,97.26815861392072,96.94675447332779,100.72870370346007,97.97999388835525,98.29734480495999
2022-03-24,100.14523807098674,97.21528923077216,97.25892100726237,96.93875191941538,100.80723570712628,97.9751077063129,98.28760618210308
2022-03-25,100.15356100619859,96.97853470797662,97.05848731908401,96.74272224844897,100.8546899214254,97.87145999032978,98.2123257768896
2022-03-28,100.50074140365501,97.269404957772,97.47121459013731,97.21788376700665,101.19131469322913,98.30190448301103,98.68940668435529
2022-03-29,101.07322911857715,97.7415047879429,98.02328628957369,97.81538552635473,101.7817633975776,98.94476321236264,99.3661569812629
2022-03-30,100.62848469107163,97.12708066957451,97.54187789332562,97.38566686298351,101.33488891375822,98.50013291523936,98.97750440421656
2022-03-31,100.1403275612917,97.0255987461904,97.33742733000108,97.16389243235227,100.83714506542836,98.26049460494971,98.66555765655424
2022-04-01,100.30363422679291,97.23966043348784,97.46836449552023,97.27168608964125,100.98959794419147,98.35381693100813,98.71433013251249
2022-04-04,100.72619150091874,97.69047875075663,97.83358413195616,97.60170321190087,101.39787516692192,98.66846767027397,98.98981396860941
2022-04-05,100.91330056917845,97.56039927001635,97.8083266687628,97.60022826602336,101.62361247809521,98.72785440980296,99.11704983607427
2022-04-06,100.1552355107498,96.77525383899177,96.93895325837211,96.66096334744438,100.90985214744296,97.92451006177066,98.30009040802791
