,ICVT
2020-03-23,38.13147735595703
2020-03-24,41.939693450927734
2020-03-25,43.39748764038086
2020-03-26,45.0108528137207
2020-03-27,44.84296798706055
2020-03-30,44.97809600830078
2020-03-31,44.51946258544922
2020-04-01,42.41902542114258
2020-04-02,43.18998336791992
2020-04-03,42.69788360595703
2020-04-06,44.2643928527832
2020-04-07,44.31360626220703
2020-04-08,45.74889373779297
2020-04-09,46.51985549926758
2020-04-13,47.67628479003906
2020-04-14,48.201202392578125
2020-04-15,47.98796463012695
2020-04-16,48.266807556152344
2020-04-17,48.750709533691406
2020-04-20,49.04597854614258
2020-04-21,47.94285202026367
2020-04-22,48.71790313720703
2020-04-23,48.767112731933594
2020-04-24,49.26740646362305
2020-04-27,50.07118606567383
2020-04-28,49.726722717285156
2020-04-29,50.6452751159668
2020-04-30,50.276214599609375
2020-05-01,49.548675537109375
2020-05-04,49.51582336425781
2020-05-05,50.51765060424805
2020-05-06,50.60797119140625
2020-05-07,51.3552131652832
2020-05-08,52.13532257080078
2020-05-11,52.34880828857422
2020-05-12,51.691898345947266
2020-05-13,51.18277359008789
2020-05-14,51.323219299316406
2020-05-15,51.47018814086914
2020-05-18,52.12711715698242
2020-05-19,52.30776596069336
2020-05-20,52.972896575927734
2020-05-21,52.80044937133789
2020-05-22,53.21104049682617
2020-05-26,53.79404067993164
2020-05-27,53.547706604003906
2020-05-28,53.679115295410156
2020-05-29,53.92545700073242
2020-06-01,54.76883316040039
2020-06-02,55.354103088378906
2020-06-03,56.081565856933594
2020-06-04,55.502052307128906
2020-06-05,56.47202682495117
2020-06-08,57.368003845214844
2020-06-09,57.113189697265625
2020-06-10,57.05565643310547
2020-06-11,54.57320022583008
2020-06-12,55.641807556152344
2020-06-15,56.36515808105469
2020-06-16,57.27760314941406
2020-06-17,57.4880485534668
2020-06-18,57.77901077270508
2020-06-19,57.384456634521484
2020-06-22,58.214683532714844
2020-06-23,58.32975769042969
2020-06-24,57.09674072265625
2020-06-25,57.86118698120117
2020-06-26,58.370872497558594
2020-06-29,57.49954605102539
2020-06-30,58.32975769042969
2020-07-01,58.91065979003906
2020-07-02,59.44544219970703
2020-07-06,60.24354553222656
2020-07-07,60.29293441772461
2020-07-08,61.14036560058594
2020-07-09,61.23086166381836
2020-07-10,61.6751594543457
2020-07-13,60.457462310791016
2020-07-14,60.7948112487793
2020-07-15,61.42011642456055
2020-07-16,61.3049430847168
2020-07-17,61.3707275390625
2020-07-20,62.621360778808594
2020-07-21,62.448570251464844
2020-07-22,62.53084945678711
2020-07-23,61.658714294433594
2020-07-24,60.868858337402344
2020-07-27,62.004276275634766
2020-07-28,61.436561584472656
2020-07-29,62.42390060424805
2020-07-30,62.2511100769043
2020-07-31,62.64603805541992
2020-08-03,63.48603057861328
2020-08-04,63.733097076416016
2020-08-05,64.29312133789062
2020-08-06,64.21080017089844
2020-08-07,63.48603057861328
2020-08-10,63.27193832397461
2020-08-11,62.82720947265625
2020-08-12,63.37899398803711
2020-08-13,64.45783233642578
2020-08-14,64.18602752685547
2020-08-17,65.47900390625
2020-08-18,66.01432800292969
2020-08-19,65.98957061767578
2020-08-20,66.55781555175781
2020-08-21,66.50840759277344
2020-08-24,66.52491760253906
2020-08-25,66.7801742553711
2020-08-26,67.71078491210938
2020-08-27,67.87548065185547
2020-08-28,68.18844604492188
2020-08-31,69.06134796142578
2020-09-01,69.5344467163086
2020-09-02,69.08938598632812
2020-09-03,66.26251220703125
2020-09-04,66.3201675415039
2020-09-08,63.53448486328125
2020-09-09,64.50707244873047
2020-09-10,64.49877166748047
2020-09-11,64.26803588867188
2020-09-14,65.78450012207031
2020-09-15,66.6993179321289
2020-09-16,66.6580810546875
2020-09-17,66.1224136352539
2020-09-18,66.50151824951172
