,FLOT
2021-12-31,41.50493621826172
2022-01-03,41.48858642578125
2022-01-04,41.46403884887695
2022-01-05,41.50493621826172
2022-01-06,41.46403884887695
2022-01-07,41.47220230102539
2022-01-10,41.47220230102539
2022-01-11,41.47220230102539
2022-01-12,41.48858642578125
2022-01-13,41.47220230102539
2022-01-14,41.480377197265625
2022-01-18,41.48858642578125
2022-01-19,41.48858642578125
2022-01-20,41.46403884887695
2022-01-21,41.48858642578125
2022-01-24,41.480377197265625
2022-01-25,41.480377197265625
2022-01-26,41.480377197265625
2022-01-27,41.48858642578125
2022-01-28,41.480377197265625
2022-01-31,41.480377197265625
2022-02-01,41.50250244140625
2022-02-02,41.50250244140625
2022-02-03,41.51068115234375
2022-02-04,41.51068115234375
2022-02-07,41.51885223388672
2022-02-08,41.50250244140625
2022-02-09,41.51068115234375
2022-02-10,41.494285583496094
2022-02-11,41.52704620361328
2022-02-14,41.51068115234375
2022-02-15,41.494285583496094
2022-02-16,41.494285583496094
2022-02-17,41.494285583496094
2022-02-18,41.51885223388672
2022-02-22,41.50250244140625
2022-02-23,41.48611831665039
2022-02-24,41.46156692504883
2022-02-25,41.445194244384766
2022-02-28,41.469749450683594
2022-03-01,41.4926872253418
2022-03-02,41.4844856262207
2022-03-03,41.476295471191406
2022-03-04,41.435359954833984
2022-03-07,41.41899871826172
2022-03-08,41.304378509521484
2022-03-09,41.345314025878906
2022-03-10,41.35349655151367
2022-03-11,41.230690002441406
2022-03-14,41.22249221801758
2022-03-15,41.22249221801758
2022-03-16,41.25524139404297
2022-03-17,41.337127685546875
2022-03-18,41.345314025878906
2022-03-21,41.29618835449219
2022-03-22,41.337127685546875
2022-03-23,41.328941345214844
2022-03-24,41.337127685546875
2022-03-25,41.337127685546875
2022-03-28,41.337127685546875
2022-03-29,41.35349655151367
2022-03-30,41.36986541748047
2022-03-31,41.361671447753906
2022-04-01,41.41245651245117
2022-04-04,41.39607238769531
2022-04-05,41.37969207763672
2022-04-06,41.38788604736328
2022-04-07,41.39607238769531
2022-04-08,41.38788604736328
2022-04-11,41.37150955200195
2022-04-12,41.36333084106445
2022-04-13,41.39607238769531
2022-04-14,41.38788604736328
2022-04-18,41.39607238769531
2022-04-19,41.39607238769531
2022-04-20,41.41245651245117
2022-04-21,41.40427017211914
2022-04-22,41.36333084106445
2022-04-25,41.41245651245117
2022-04-26,41.30598831176758
2022-04-27,41.32236862182617
2022-04-28,41.346946716308594
2022-04-29,41.37150955200195
2022-05-02,41.44116973876953
2022-05-03,41.40018844604492
2022-05-04,41.40018844604492
2022-05-05,41.37562561035156
