,DBMF
2023-12-22,22.971513748168945
2023-12-26,22.928329467773438
2023-12-27,22.94610595703125
2023-12-28,22.91944694519043
2023-12-29,22.892784118652344
2024-01-02,22.94610595703125
2024-01-03,22.892784118652344
2024-01-04,23.07052230834961
2024-01-05,22.990543365478516
2024-01-08,23.132734298706055
2024-01-09,23.159393310546875
2024-01-10,23.372676849365234
2024-01-11,23.177167892456055
2024-01-12,23.186052322387695
2024-01-16,23.328243255615234
2024-01-17,23.372676849365234
2024-01-18,23.408227920532227
2024-01-19,23.44377326965332
2024-01-22,23.53264617919922
2024-01-23,23.53264617919922
2024-01-24,23.452661514282227
2024-01-25,23.470434188842773
2024-01-26,23.594850540161133
2024-01-29,23.62151527404785
2024-01-30,23.630401611328125
2024-01-31,23.452661514282227
2024-02-01,23.674833297729492
2024-02-02,23.817026138305664
2024-02-05,23.71038246154785
2024-02-06,23.719268798828125
2024-02-07,23.737043380737305
2024-02-08,23.825912475585938
2024-02-09,23.897008895874023
2024-02-12,23.852575302124023
2024-02-13,23.719268798828125
2024-02-14,23.852575302124023
2024-02-15,24.003652572631836
2024-02-16,23.950332641601562
2024-02-20,23.772592544555664
2024-02-21,23.90589714050293
2024-02-22,24.1369571685791
2024-02-23,24.199167251586914
2024-02-26,24.18138885498047
2024-02-27,24.26137351989746
2024-02-28,24.20805549621582
2024-02-29,24.305810928344727
2024-03-01,24.501323699951172
2024-03-04,24.554641723632812
2024-03-05,24.33247184753418
2024-03-06,24.430227279663086
2024-03-07,24.510208129882812
2024-03-08,24.216938018798828
2024-03-11,24.101409912109375
2024-03-12,24.18138885498047
2024-03-13,24.48354721069336
2024-03-14,24.572420120239258
2024-03-15,24.687952041625977
2024-03-18,24.83902931213379
2024-03-19,25.0345401763916
2024-03-20,25.221162796020508
2024-03-21,25.372243881225586
2024-03-22,25.274486541748047
2024-03-25,25.3011474609375
2024-03-26,25.23591423034668
2024-03-27,25.27165985107422
2024-03-28,25.629106521606445
2024-04-01,25.888256072998047
2024-04-02,25.79889678955078
2024-04-03,25.81676483154297
2024-04-04,25.512937545776367
2024-04-05,25.87932014465332
2024-04-08,26.022302627563477
2024-04-09,25.87038803100586
2024-04-10,26.36187744140625
2024-04-11,26.522727966308594
