,GBP
2021-02-26,1.2682100534439087
2021-03-01,1.2677199840545654
2021-03-02,1.274340033531189
2021-03-03,1.276769995689392
2021-03-04,1.2810399532318115
2021-03-05,1.2907700538635254
2021-03-08,1.2885299921035767
2021-03-09,1.2938400506973267
2021-03-10,1.288789987564087
2021-03-11,1.295240044593811
2021-03-12,1.2934499979019165
2021-03-15,1.2944799661636353
2021-03-16,1.2892600297927856
2021-03-17,1.2858599424362183
2021-03-18,1.2884999513626099
2021-03-19,1.2911299467086792
2021-03-22,1.2863999605178833
2021-03-23,1.2797499895095825
2021-03-24,1.2830599546432495
2021-03-25,1.2805299758911133
2021-03-26,1.2916100025177002
2021-03-28,1.2956199645996094
2021-03-29,1.2933000326156616
2021-03-30,1.2945400476455688
2021-03-31,1.300920009613037
2021-04-01,1.3030999898910522
2021-04-04,1.3027100563049316
2021-04-05,1.3021999597549438
2021-04-06,1.287600040435791
2021-04-07,1.2768000364303589
2021-04-08,1.2689299583435059
2021-04-11,1.2686599493026733
2021-04-12,1.2684999704360962
2021-04-13,1.266160011291504
2021-04-14,1.2710000276565552
2021-04-15,1.2706999778747559
2021-04-18,1.2719099521636963
2021-04-19,1.2798999547958374
2021-04-20,1.276710033416748
2021-04-21,1.27701997756958
2021-04-22,1.269129991531372
2021-04-25,1.2669399976730347
2021-04-26,1.270799994468689
2021-04-27,1.2707200050354004
2021-04-28,1.2682199478149414
2021-04-29,1.267799973487854
2021-05-02,1.2613999843597412
2021-05-03,1.267259955406189
2021-05-04,1.268589973449707
2021-05-05,1.2699600458145142
2021-05-06,1.2610700130462646
2021-05-09,1.2642199993133545
2021-05-10,1.272130012512207
2021-05-11,1.277340054512024
2021-05-12,1.2777600288391113
2021-05-13,1.2724800109863281
2021-05-16,1.270900011062622
2021-05-17,1.277959942817688
2021-05-18,1.2732900381088257
2021-05-19,1.2751699686050415
2021-05-20,1.2730400562286377
2021-05-23,1.269129991531372
2021-05-24,1.2696399688720703
2021-05-25,1.2664999961853027
2021-05-26,1.2671300172805786
2021-05-27,1.2739299535751343
2021-05-30,1.2762399911880493
2021-05-31,1.2780499458312988
2021-06-01,1.2695599794387817
2021-06-02,1.2727700471878052
2021-06-03,1.2746599912643433
2021-06-06,1.2736799716949463
2021-06-07,1.2724800109863281
2021-06-08,1.2687000036239624
2021-06-09,1.2641700506210327
2021-06-10,1.2676299810409546
2021-06-13,1.267300009727478
2021-06-14,1.2688699960708618
2021-06-15,1.2651599645614624
2021-06-16,1.271090030670166
2021-06-17,1.2789499759674072
2021-06-20,1.2744799852371216
2021-06-21,1.2790700197219849
2021-06-22,1.281350016593933
2021-06-23,1.2823799848556519
2021-06-24,1.2776299715042114
2021-06-27,1.2735799551010132
2021-06-28,1.2761900424957275
2021-06-29,1.2744799852371216
2021-06-30,1.2791600227355957
2021-07-01,1.2739100456237793
2021-07-04,1.2748899459838867
2021-07-05,1.2775499820709229
2021-07-06,1.2763400077819824
2021-07-07,1.277359962463379
2021-07-08,1.2613400220870972
2021-07-11,1.270359992980957
2021-07-12,1.270359992980957
2021-07-13,1.268239974975586
2021-07-14,1.2671400308609009
2021-07-15,1.2691199779510498
2021-07-18,1.2640000581741333
2021-07-19,1.2557200193405151
2021-07-20,1.255929946899414
2021-07-21,1.2581199407577515
2021-07-22,1.2656999826431274
2021-07-25,1.2649400234222412
2021-07-26,1.2657500505447388
2021-07-27,1.2692699432373047
2021-07-28,1.2649600505828857
2021-07-29,1.2646000385284424
2021-08-01,1.2587499618530273
2021-08-02,1.257449984550476
2021-08-03,1.257789969444275
2021-08-04,1.2589999437332153
2021-08-05,1.262619972229004
2021-08-08,1.2696000337600708
2021-08-09,1.2749099731445312
2021-08-10,1.2769500017166138
2021-08-11,1.2775800228118896
2021-08-12,1.2748899459838867
2021-08-15,1.269029974937439
2021-08-16,1.262850046157837
2021-08-17,1.2567399740219116
2021-08-18,1.2609800100326538
2021-08-19,1.25246000289917
2021-08-22,1.2495900392532349
2021-08-23,1.2517000436782837
2021-08-24,1.253250002861023
2021-08-25,1.2575299739837646
2021-08-26,1.257599949836731
2021-08-29,1.25409996509552
2021-08-30,1.261680006980896
2021-08-31,1.2587100267410278
2021-09-01,1.260599970817566
2021-09-02,1.2652599811553955
2021-09-05,1.2664200067520142
2021-09-06,1.2660900354385376
2021-09-07,1.2668499946594238
2021-09-08,1.2690600156784058
2021-09-09,1.2683299779891968
2021-09-12,1.2705999612808228
2021-09-13,1.2760000228881836
2021-09-14,1.270490050315857
2021-09-15,1.2735899686813354
2021-09-16,1.2795100212097168
2021-09-19,1.279520034790039
2021-09-20,1.2673499584197998
2021-09-21,1.2612600326538086
2021-09-22,1.2612600326538086
2021-09-23,1.268630027770996
2021-09-26,1.2634600400924683
2021-09-27,1.2681399583816528
2021-09-28,1.2580000162124634
2021-09-29,1.2543400526046753
2021-09-30,1.255810022354126
2021-10-03,1.2613500356674194
2021-10-04,1.258470058441162
2021-10-05,1.2649799585342407
2021-10-06,1.2609100341796875
2021-10-07,1.264549970626831
2021-10-10,1.2632800340652466
2021-10-11,1.2604000568389893
2021-10-12,1.2632999420166016
2021-10-13,1.2630499601364136
2021-10-14,1.2633700370788574
2021-10-17,1.270799994468689
2021-10-18,1.2682000398635864
2021-10-19,1.2728899717330933
2021-10-20,1.2698999643325806
2021-10-21,1.2661800384521484
2021-10-24,1.2613799571990967
2021-10-25,1.2660499811172485
2021-10-26,1.2659000158309937
2021-10-27,1.2607300281524658
2021-10-28,1.2575500011444092
2021-11-01,1.2534500360488892
2021-11-02,1.2415800094604492
2021-11-03,1.2452000379562378
2021-11-04,1.247879981994629
2021-11-05,1.2323999404907227
2021-11-08,1.2302600145339966
2021-11-09,1.2386000156402588
2021-11-10,1.235260009765625
2021-11-11,1.230870008468628
2021-11-12,1.2310800552368164
2021-11-15,1.2356799840927124
2021-11-16,1.2406699657440186
2021-11-17,1.2489500045776367
2021-11-18,1.2523599863052368
2021-11-19,1.249619960784912
2021-11-22,1.2483400106430054
2021-11-23,1.249400019645691
2021-11-24,1.2483899593353271
2021-11-25,1.2449599504470825
2021-11-26,1.2449699640274048
2021-11-29,1.2330399751663208
2021-11-30,1.228600025177002
2021-12-01,1.2224199771881104
2021-12-02,1.2222800254821777
2021-12-03,1.2232099771499634
2021-12-06,1.2156200408935547
2021-12-07,1.2272000312805176
2021-12-08,1.2244900465011597
2021-12-09,1.2153899669647217
2021-12-10,1.2214900255203247
2021-12-13,1.2210400104522705
2021-12-14,1.2187000513076782
2021-12-15,1.2225300073623657
2021-12-16,1.2259199619293213
2021-12-17,1.2239500284194946
2021-12-20,1.2213599681854248
2021-12-21,1.2174500226974487
2021-12-22,1.2245999574661255
2021-12-23,1.2272700071334839
2021-12-24,1.2315000295639038
2021-12-27,1.2315000295639038
2021-12-28,1.2324199676513672
2021-12-29,1.231850028038025
2021-12-30,1.2332700490951538
2021-12-31,1.2330700159072876
2022-01-03,1.2331299781799316
2022-01-04,1.238010048866272
2022-01-05,1.2394499778747559
2022-01-06,1.2434300184249878
2022-01-07,1.2468600273132324
2022-01-10,1.248810052871704
2022-01-11,1.2589999437332153
2022-01-12,1.258870005607605
2022-01-13,1.2526999711990356
2022-01-14,1.249269962310791
2022-01-17,1.2503600120544434
2022-01-18,1.247249960899353
2022-01-19,1.2470899820327759
2022-01-20,1.24590003490448
2022-01-21,1.2465900182724
2022-01-24,1.2369999885559082
2022-01-25,1.2328599691390991
2022-01-26,1.2395999431610107
2022-01-27,1.2443000078201294
2022-01-28,1.246000051498413
2022-01-31,1.2479300498962402
2022-02-01,1.246340036392212
2022-02-02,1.2454999685287476
2022-02-03,1.2464100122451782
2022-02-04,1.2514699697494507
2022-02-07,1.2518999576568604
2022-02-08,1.2494900226593018
2022-02-09,1.253059983253479
2022-02-10,1.2506400346755981
2022-02-11,1.2542099952697754
2022-02-14,1.2547099590301514
2022-02-15,1.250980019569397
2022-02-16,1.2530200481414795
2022-02-17,1.2520999908447266
2022-02-18,1.25246000289917
2022-02-21,1.2516499757766724
2022-02-22,1.2447400093078613
2022-02-23,1.2522000074386597
2022-02-24,1.2426400184631348
2022-02-25,1.2376999855041504
2022-02-28,1.2390799522399902
2022-03-01,1.2312999963760376
2022-03-02,1.2248400449752808
2022-03-03,1.2330600023269653
2022-03-04,1.2249399423599243
2022-03-07,1.2156200408935547
2022-03-08,1.2133599519729614
2022-03-09,1.2175500392913818
2022-03-10,1.2215499877929688
2022-03-11,1.217650055885315
2022-03-14,1.219789981842041
2022-03-15,1.2207200527191162
2022-03-16,1.22707998752594
2022-03-17,1.2369099855422974
2022-03-18,1.2315599918365479
2022-03-21,1.2276500463485718
2022-03-22,1.2297500371932983
2022-03-23,1.2381700277328491
2022-03-24,1.229099988937378
2022-03-25,1.2264200448989868
2022-03-27,1.2265000343322754
2022-03-28,1.2232099771499634
2022-03-29,1.2190099954605103
2022-03-30,1.2123899459838867
2022-03-31,1.2136199474334717
2022-04-03,1.2131999731063843
2022-04-04,1.2144900560379028
2022-04-05,1.2155100107192993
2022-04-06,1.219290018081665
2022-04-07,1.2211500406265259
2022-04-10,1.2173999547958374
2022-04-11,1.2129000425338745
2022-04-12,1.2125699520111084
2022-04-13,1.2252000570297241
2022-04-14,1.2318799495697021
2022-04-17,1.2303999662399292
2022-04-18,1.2288899421691895
2022-04-19,1.238860011100769
2022-04-20,1.2402900457382202
2022-04-21,1.2421799898147583
2022-04-24,1.2259800434112549
2022-04-25,1.220729947090149
2022-04-26,1.2107199430465698
2022-04-27,1.2147200107574463
2022-04-28,1.2111200094223022
2022-05-01,1.2247200012207031
2022-05-02,1.2218199968338013
2022-05-03,1.2233699560165405
2022-05-04,1.227810025215149
2022-05-05,1.2179399728775024
2022-05-08,1.2193800210952759
2022-05-09,1.2249699831008911
2022-05-10,1.2254199981689453
2022-05-11,1.2165000438690186
2022-05-12,1.2240500450134277
2022-05-15,1.2284799814224243
2022-05-16,1.2343699932098389
2022-05-17,1.2407900094985962
2022-05-18,1.2182400226593018
2022-05-19,1.211400032043457
2022-05-22,1.2190300226211548
2022-05-23,1.2137700319290161
2022-05-24,1.2043399810791016
2022-05-25,1.2100399732589722
2022-05-26,1.20933997631073
2022-05-29,1.2094800472259521
2022-05-30,1.2117400169372559
2022-05-31,1.2094199657440186
2022-06-01,1.2017699480056763
2022-06-02,1.2042100429534912
2022-06-05,1.2020000219345093
2022-06-06,1.2164100408554077
2022-06-07,1.2252800464630127
2022-06-08,1.2269200086593628
