,IGF
2019-12-31,39.734039306640625
2020-01-02,39.65939712524414
2020-01-03,39.41059494018555
2020-01-06,39.543296813964844
2020-01-07,39.44377517700195
2020-01-08,39.6262321472168
2020-01-09,39.69257354736328
2020-01-10,39.7838020324707
2020-01-13,40.05747985839844
2020-01-14,40.14870834350586
2020-01-15,40.45557403564453
2020-01-16,40.65461349487305
2020-01-17,40.79560089111328
2020-01-21,40.54679870605469
2020-01-22,40.6048583984375
2020-01-23,40.7209587097168
2020-01-24,40.646324157714844
2020-01-27,40.090660095214844
2020-01-28,40.55509567260742
2020-01-29,40.5882682800293
2020-01-30,40.596561431884766
2020-01-31,40.22335433959961
2020-02-03,40.389225006103516
2020-02-04,40.65461349487305
2020-02-05,40.8951301574707
2020-02-06,40.870243072509766
2020-02-07,40.62973403930664
2020-02-10,40.67949676513672
2020-02-11,40.986351013183594
2020-02-12,40.986351013183594
2020-02-13,40.96147155761719
2020-02-14,41.25175476074219
2020-02-18,41.34297180175781
2020-02-19,41.34297180175781
2020-02-20,41.19369125366211
2020-02-21,41.14392852783203
2020-02-24,39.98284149169922
2020-02-25,39.02909851074219
2020-02-26,38.796875
2020-02-27,37.370399475097656
2020-02-28,36.60740280151367
2020-03-02,37.75190353393555
2020-03-03,37.32064437866211
