,CSBGC0.SW
2023-08-04,95.01244354248047
2023-08-07,94.99356079101562
2023-08-08,95.81036376953125
2023-08-09,95.58373260498047
2023-08-10,95.59317016601562
2023-08-11,94.7952651977539
2023-08-14,94.82359313964844
2023-08-15,94.87552642822266
2023-08-16,94.89913177490234
2023-08-17,94.69139099121094
2023-08-18,94.95579528808594
2023-08-21,94.86608123779297
2023-08-22,94.76222229003906
2023-08-23,95.46568298339844
2023-08-24,95.71592712402344
2023-08-25,95.51290893554688
2023-08-28,95.74897766113281
2023-08-29,95.87646484375
2023-08-30,95.38542175292969
2023-08-31,96.15501403808594
2023-09-01,96.13140106201172
2023-09-04,95.87646484375
2023-09-05,95.30989837646484
2023-09-06,95.27684020996094
2023-09-07,95.08798217773438
2023-09-08,94.72915649414062
2023-09-11,94.62528991699219
2023-09-12,94.23814392089844
2023-09-13,94.46476745605469
2023-09-14,94.89913177490234
2023-09-15,94.61585235595703
2023-09-18,94.5733642578125
2023-09-19,94.38923645019531
2023-09-20,94.28535461425781
2023-09-21,94.52142333984375
2023-09-22,94.72915649414062
2023-09-25,94.34390258789062
2023-09-26,94.8047103881836
2023-09-27,94.61585235595703
2023-09-28,93.86043548583984
2023-09-29,94.27969360351562
2023-10-02,94.19470977783203
2023-10-03,94.13616943359375
2023-10-04,93.51105499267578
2023-10-05,93.71880340576172
2023-10-06,93.69613647460938
2023-10-09,94.0020751953125
2023-10-10,93.89820098876953
2023-10-11,94.71028137207031
2023-10-12,94.42699432373047
2023-10-13,94.5025405883789
2023-10-16,93.99263000488281
2023-10-17,93.89254760742188
2023-10-18,93.83965301513672
2023-10-19,93.76600646972656
2023-10-20,93.80377960205078
2023-10-23,94.12104797363281
2023-10-24,94.18148040771484
2023-10-25,94.2192611694336
2023-10-26,93.95486450195312
2023-10-27,94.06817626953125
2023-10-30,93.99263000488281
2023-10-31,94.06817626953125
2023-11-01,94.1777114868164
2023-11-02,93.61492919921875
2023-11-03,93.87553405761719
2023-11-06,92.99359893798828
2023-11-07,93.68102264404297
2023-11-08,93.96807861328125
2023-11-09,94.40811920166016
2023-11-10,94.04740142822266
2023-11-13,94.14370727539062
2023-11-14,94.8047103881836
2023-11-15,94.74805450439453
2023-11-16,95.49874877929688
2023-11-17,95.74425506591797
2023-11-20,95.79146575927734
2023-11-21,96.20694732666016
2023-11-22,96.17388153076172
