,CHSRI.SW
2019-04-01,10.801554679870605
2019-04-02,10.862502098083496
2019-04-03,10.933610916137695
2019-04-04,10.916680335998535
2019-04-05,10.974242210388184
2019-04-08,10.953927040100098
2019-04-09,10.987786293029785
2019-04-10,10.947154998779297
2019-04-11,10.997944831848145
2019-04-12,10.977630615234375
2019-04-15,11.072437286376953
2019-04-16,11.218040466308594
2019-04-17,11.255287170410156
2019-04-18,11.272216796875
2019-04-23,11.370412826538086
2019-04-24,11.336553573608398
2019-04-25,11.329779624938965
2019-04-26,11.346711158752441
2019-04-29,11.404272079467773
2019-04-30,11.404272079467773
2019-05-02,11.390729904174805
2019-05-03,11.383955955505371
2019-05-06,11.21126651763916
2019-05-07,11.214654922485352
2019-05-08,11.231583595275879
2019-05-09,11.055508613586426
2019-05-10,11.099528312683105
2019-05-13,10.920065879821777
2019-05-14,10.967469215393066
2019-05-15,10.903136253356934
2019-05-16,11.146932601928711
2019-05-17,11.160475730895996
2019-05-20,10.994558334350586
2019-05-21,11.089370727539062
2019-05-22,11.140161514282227
2019-05-23,10.994558334350586
2019-05-24,11.052123069763184
2019-05-27,11.031805992126465
2019-05-28,11.075824737548828
2019-05-29,10.930225372314453
2019-05-31,10.879432678222656
2019-06-03,10.848958969116211
2019-06-04,10.940381050109863
2019-06-05,11.004716873168945
2019-06-06,11.085981369018555
2019-06-07,11.13000202178955
2019-06-11,11.299304008483887
2019-06-12,11.265442848205566
2019-06-13,11.260364532470703
2019-06-14,11.192645072937012
2019-06-17,11.20449447631836
2019-06-18,11.356867790222168
2019-06-19,11.341629028320312
2019-06-20,11.402579307556152
2019-06-21,11.321314811706543
2019-06-24,11.361947059631348
2019-06-25,11.275602340698242
2019-06-26,11.262057304382324
2019-06-27,11.319622039794922
2019-06-28,11.329779624938965
2019-07-01,11.551566123962402
2019-07-02,11.56511116027832
2019-07-03,11.612518310546875
2019-07-04,11.624367713928223
2019-07-05,11.482151985168457
2019-07-08,11.470300674438477
2019-07-09,11.375492095947266
2019-07-10,11.36533260345459
2019-07-11,11.341629028320312
2019-07-12,11.299304008483887
2019-07-15,11.375492095947266
2019-07-16,11.397500991821289
2019-07-17,11.453370094299316
2019-07-18,11.351789474487305
2019-07-19,11.383955955505371
2019-07-22,11.390729904174805
2019-07-23,11.510934829711914
2019-07-24,11.510934829711914
2019-07-25,11.411044120788574
2019-07-26,11.470300674438477
2019-07-29,11.49908447265625
2019-07-30,11.389036178588867
2019-07-31,11.458451271057129
2019-08-02,11.253594398498535
2019-08-05,10.991172790527344
2019-08-06,11.026726722717285
2019-08-07,11.053814888000488
2019-08-08,11.243433952331543
2019-08-09,11.26883316040039
2019-08-12,11.258672714233398
2019-08-13,11.290839195251465
