,AGGS.SW
2024-04-08,4.533100128173828
2024-04-09,4.54610013961792
2024-04-10,4.52269983291626
2024-04-11,4.505000114440918
2024-04-12,4.526899814605713
2024-04-15,4.498499870300293
2024-04-16,4.486199855804443
2024-04-17,4.492099761962891
2024-04-18,4.489999771118164
2024-04-19,4.49429988861084
2024-04-22,4.496699810028076
2024-04-23,4.495100021362305
2024-04-24,4.486800193786621
2024-04-25,4.464099884033203
2024-04-26,4.486700057983398
2024-04-29,4.49399995803833
2024-04-30,4.47760009765625
2024-05-02,4.490699768066406
2024-05-03,4.515600204467773
2024-05-06,4.521999835968018
2024-05-07,4.534599781036377
2024-05-08,4.524099826812744
2024-05-10,4.507800102233887
2024-05-13,4.516499996185303
2024-05-14,4.515600204467773
2024-05-15,4.540299892425537
2024-05-16,4.537300109863281
2024-05-17,4.528200149536133
2024-05-21,4.522500038146973
2024-05-22,4.52239990234375
2024-05-23,4.504199981689453
2024-05-24,4.50600004196167
2024-05-27,4.514599800109863
2024-05-28,4.511499881744385
2024-05-29,4.480199813842773
2024-05-30,4.488100051879883
2024-05-31,4.5040998458862305
2024-06-03,4.520599842071533
2024-06-04,4.531400203704834
2024-06-05,4.539899826049805
2024-06-06,4.549099922180176
2024-06-07,4.527699947357178
2024-06-10,4.506400108337402
2024-06-11,4.512499809265137
2024-06-12,4.547699928283691
2024-06-13,4.539000034332275
2024-06-14,4.5594000816345215
2024-06-17,4.538700103759766
2024-06-18,4.54640007019043
2024-06-19,4.546199798583984
2024-06-20,4.545599937438965
2024-06-21,4.540999889373779
2024-06-24,4.544600009918213
2024-06-25,4.548999786376953
2024-06-26,4.534900188446045
2024-06-27,4.53879976272583
2024-06-28,4.526500225067139
2024-07-01,4.50439977645874
2024-07-02,4.510000228881836
2024-07-03,4.5320000648498535
2024-07-04,4.521999835968018
2024-07-05,4.539700031280518
2024-07-08,4.537300109863281
2024-07-09,4.532400131225586
2024-07-10,4.5467000007629395
2024-07-11,4.559899806976318
2024-07-12,4.557499885559082
2024-07-15,4.565199851989746
2024-07-16,4.5680999755859375
2024-07-17,4.5655999183654785
2024-07-18,4.5706000328063965
2024-07-19,4.562399864196777
2024-07-22,4.563300132751465
2024-07-23,4.562600135803223
2024-07-24,4.564499855041504
2024-07-25,4.565400123596191
2024-07-26,4.560100078582764
2024-07-29,4.571700096130371
2024-07-30,4.5802001953125
2024-07-31,4.585599899291992
2024-08-02,4.643799781799316
2024-08-05,4.631800174713135
2024-08-06,4.624000072479248
2024-08-07,4.613699913024902
2024-08-08,4.6097002029418945
2024-08-09,4.621099948883057
2024-08-12,4.618199825286865
2024-08-13,4.632800102233887
2024-08-14,4.63700008392334
2024-08-15,4.615499973297119
2024-08-16,4.628900051116943
2024-08-19,4.6290998458862305
2024-08-20,4.6371002197265625
2024-08-21,4.645699977874756
2024-08-22,4.634699821472168
2024-08-23,4.650000095367432
2024-08-26,4.637700080871582
2024-08-27,4.628600120544434
2024-08-28,4.632400035858154
2024-08-29,4.625100135803223
2024-08-30,4.632999897003174
2024-09-02,4.614299774169922
2024-09-03,4.636499881744385
2024-09-04,4.650100231170654
2024-09-05,4.64739990234375
2024-09-06,4.675000190734863
2024-09-09,4.664899826049805
2024-09-10,4.666399955749512
2024-09-11,4.684199810028076
2024-09-12,4.673299789428711
2024-09-13,4.6828999519348145
2024-09-16,4.684100151062012
2024-09-17,4.682199954986572
2024-09-18,4.668900012969971
2024-09-19,4.66949987411499
2024-09-20,4.659299850463867
2024-09-23,4.6682000160217285
2024-09-24,4.663700103759766
2024-09-25,4.661200046539307
2024-09-26,4.656400203704834
2024-09-27,4.663099765777588
2024-09-30,4.664999961853027
2024-10-01,4.681099891662598
2024-10-02,4.664400100708008
2024-10-03,4.654799938201904
2024-10-04,4.6209001541137695
2024-10-07,4.6168999671936035
2024-10-08,4.609600067138672
2024-10-09,4.614500045776367
2024-10-10,4.606200218200684
2024-10-11,4.605299949645996
2024-10-14,4.609799861907959
2024-10-15,4.623799800872803
2024-10-16,4.629000186920166
2024-10-17,4.617499828338623
2024-10-18,4.618500232696533
2024-10-21,4.599999904632568
2024-10-22,4.6006999015808105
2024-10-23,4.588799953460693
2024-10-24,4.597499847412109
2024-10-25,4.5929999351501465
2024-10-28,4.584700107574463
2024-10-29,4.571100234985352
2024-10-30,4.5782999992370605
2024-10-31,4.5746002197265625
2024-11-01,4.5665998458862305
2024-11-04,4.576099872589111
2024-11-05,4.567699909210205
2024-11-06,4.554699897766113
2024-11-07,4.569900035858154
2024-11-08,4.576300144195557
2024-11-11,4.5706000328063965
2024-11-12,4.574900150299072
2024-11-13,4.566800117492676
2024-11-14,4.573999881744385
2024-11-15,4.562399864196777
2024-11-18,4.561999797821045
2024-11-19,4.5777997970581055
2024-11-20,4.562600135803223
2024-11-21,4.569399833679199
2024-11-22,4.575399875640869
2024-11-25,4.5945000648498535
2024-11-26,4.5883002281188965
2024-11-27,4.5991997718811035
2024-11-28,4.607600212097168
2024-11-29,4.6178998947143555
2024-12-02,4.619800090789795
2024-12-03,4.614500045776367
2024-12-04,4.620500087738037
2024-12-05,4.6128997802734375
2024-12-06,4.630000114440918
2024-12-09,4.625
2024-12-10,4.619100093841553
2024-12-11,4.622700214385986
2024-12-12,4.6132001876831055
2024-12-13,4.5980000495910645
2024-12-16,4.598800182342529
2024-12-17,4.5883002281188965
2024-12-18,4.594399929046631
2024-12-19,4.5777997970581055
2024-12-20,4.572000026702881
2024-12-23,4.570499897003174
2024-12-27,4.559000015258789
2024-12-30,4.570899963378906
2025-01-03,4.559599876403809
2025-01-06,4.5467000007629395
2025-01-07,4.539999961853027
2025-01-08,4.531199932098389
2025-01-09,4.534999847412109
2025-01-10,4.520999908447266
2025-01-13,4.511000156402588
2025-01-14,4.506999969482422
2025-01-15,4.537899971008301
2025-01-16,4.539000034332275
2025-01-17,4.5457000732421875
2025-01-20,4.542500019073486
2025-01-21,4.557400226593018
2025-01-22,4.556000232696533
2025-01-23,4.535099983215332
2025-01-24,4.54610013961792
2025-01-27,4.560699939727783
2025-01-28,4.55049991607666
2025-01-29,4.559999942779541
2025-01-30,4.566299915313721
2025-01-31,4.570499897003174
2025-02-03,4.566500186920166
2025-02-04,4.5706000328063965
2025-02-05,4.590799808502197
2025-02-06,4.581299781799316
2025-02-07,4.578999996185303
2025-02-10,4.581699848175049
2025-02-11,4.571499824523926
2025-02-12,4.5503997802734375
2025-02-13,4.566800117492676
2025-02-14,4.572199821472168
2025-02-17,4.5671000480651855
2025-02-18,4.563399791717529
2025-02-19,4.555200099945068
2025-02-20,4.55679988861084
2025-02-21,4.563199996948242
2025-02-24,4.572000026702881
2025-02-25,4.591400146484375
2025-02-26,4.586999893188477
2025-02-27,4.5971999168396
2025-02-28,4.5995001792907715
2025-03-03,4.590700149536133
2025-03-04,4.606299877166748
2025-03-05,4.566100120544434
2025-03-06,4.554999828338623
2025-03-07,4.563000202178955
2025-03-10,4.561999797821045
2025-03-11,4.550099849700928
2025-03-12,4.553199768066406
2025-03-13,4.542799949645996
2025-03-14,4.54040002822876
2025-03-17,4.554200172424316
2025-03-18,4.554599761962891
2025-03-19,4.5543999671936035
2025-03-20,4.567399978637695
2025-03-21,4.553500175476074
2025-03-24,4.543600082397461
2025-03-25,4.551799774169922
2025-03-26,4.543499946594238
2025-03-27,4.546999931335449
2025-03-28,4.563799858093262
2025-03-31,4.570199966430664
2025-04-01,4.575399875640869
2025-04-02,4.578000068664551
2025-04-03,4.593500137329102
2025-04-04,4.619999885559082
2025-04-07,4.610000133514404
2025-04-08,4.557600021362305
2025-04-09,4.531099796295166
2025-04-10,4.559700012207031
2025-04-11,4.531499862670898
2025-04-14,4.542200088500977
2025-04-15,4.557799816131592
2025-04-16,4.570000171661377
2025-04-17,4.573599815368652
2025-04-22,4.571700096130371
2025-04-23,4.573800086975098
2025-04-24,4.572199821472168
2025-04-25,4.581500053405762
2025-04-28,4.586599826812744
2025-04-29,4.582499980926514
2025-04-30,4.597700119018555
2025-05-02,4.576600074768066
2025-05-05,4.576399803161621
2025-05-06,4.572500228881836
2025-05-07,4.579599857330322
2025-05-08,4.577700138092041
2025-05-09,4.557199954986572
2025-05-12,4.549900054931641
2025-05-13,4.539599895477295
2025-05-14,4.535600185394287
