,EUR
2022-04-25,1.0266599655151367
2022-04-26,1.0241299867630005
2022-04-27,1.0224100351333618
2022-04-28,1.0206999778747559
2022-05-01,1.0260000228881836
2022-05-02,1.027340054512024
2022-05-03,1.0298999547958374
2022-05-04,1.03357994556427
2022-05-05,1.0384999513626099
2022-05-08,1.041700005531311
2022-05-09,1.0491000413894653
2022-05-10,1.048509955406189
2022-05-11,1.0453599691390991
2022-05-12,1.0411100387573242
2022-05-15,1.0423200130462646
2022-05-16,1.0457799434661865
2022-05-17,1.0482200384140015
2022-05-18,1.0336899757385254
2022-05-19,1.0284199714660645
2022-05-22,1.0304499864578247
2022-05-23,1.0318299531936646
2022-05-24,1.0306700468063354
2022-05-25,1.0275100469589233
2022-05-26,1.028730034828186
2022-05-29,1.0276999473571777
2022-05-30,1.0322200059890747
2022-05-31,1.0299400091171265
2022-06-01,1.025689959526062
2022-06-02,1.0292999744415283
2022-06-05,1.0320299863815308
2022-06-06,1.0384399890899658
2022-06-07,1.0412800312042236
2022-06-08,1.04899001121521
2022-06-09,1.0410699844360352
2022-06-12,1.0378299951553345
2022-06-13,1.0379899740219116
2022-06-14,1.0432699918746948
2022-06-15,1.0398900508880615
2022-06-16,1.0195300579071045
2022-06-19,1.017109990119934
2022-06-20,1.017300009727478
2022-06-21,1.017359972000122
2022-06-22,1.0156999826431274
2022-06-23,1.0112899541854858
2022-06-26,1.011389970779419
2022-06-27,1.0115000009536743
2022-06-28,1.0066900253295898
2022-06-29,0.9966899752616882
2022-06-30,1.0006599426269531
2022-07-03,1.0
2022-07-04,1.0023900270462036
2022-07-05,0.9934300184249878
2022-07-06,0.9880599975585938
2022-07-07,0.9900799989700317
2022-07-10,0.9938799738883972
2022-07-11,0.9872999787330627
2022-07-12,0.9848799705505371
2022-07-13,0.984000027179718
2022-07-14,0.9854599833488464
2022-07-17,0.9846000075340271
2022-07-18,0.9916999936103821
2022-07-19,0.9911699891090393
2022-07-20,0.989109992980957
2022-07-21,0.987500011920929
2022-07-24,0.982200026512146
2022-07-25,0.9857199788093567
2022-07-26,0.9746000170707703
2022-07-27,0.9776999950408936
2022-07-28,0.9727299809455872
2022-07-31,0.9726600050926208
2022-08-01,0.9749000072479248
2022-08-02,0.9732999801635742
2022-08-03,0.9762300252914429
2022-08-04,0.977649986743927
2022-08-07,0.9785799980163574
2022-08-08,0.9737799763679504
2022-08-09,0.9740099906921387
