,CHSPI.SW
2019-03-11,84.26089477539062
2019-03-12,84.13148498535156
2019-03-13,84.63481140136719
2019-03-14,85.32512664794922
2019-03-15,85.46894073486328
2019-03-18,85.5840072631836
2019-03-19,85.88599395751953
2019-03-20,85.23882293701172
2019-03-21,85.31071472167969
2019-03-22,84.37596130371094
2019-03-25,84.13148498535156
2019-03-26,84.83612823486328
2019-03-27,84.67797088623047
2019-03-28,85.0374984741211
2019-03-29,85.59838104248047
2019-04-01,86.25989532470703
2019-04-02,86.14490509033203
2019-04-03,86.4324951171875
2019-04-04,86.31742095947266
2019-04-05,86.85162353515625
2019-04-08,86.73609924316406
2019-04-09,87.02485656738281
2019-04-10,86.73609924316406
2019-04-11,86.938232421875
2019-04-12,86.34630584716797
2019-04-15,87.07240295410156
2019-04-16,87.71137237548828
2019-04-17,87.63875579833984
2019-04-18,87.44998168945312
2019-04-23,88.33582305908203
2019-04-24,88.56814575195312
2019-04-25,88.6988525390625
2019-04-26,89.04737091064453
2019-04-29,89.22164154052734
2019-04-30,89.52657318115234
2019-05-02,89.20709228515625
2019-05-03,89.39588165283203
2019-05-06,88.85665130615234
2019-05-07,88.27371215820312
2019-05-08,88.69633483886719
2019-05-09,87.06407928466797
2019-05-10,87.4430160522461
2019-05-13,86.27706146240234
2019-05-14,86.67059326171875
2019-05-15,87.00579833984375
2019-05-16,88.76924133300781
2019-05-17,88.88580322265625
2019-05-20,88.05509185791016
2019-05-21,88.6380615234375
2019-05-22,89.26470184326172
2019-05-23,88.46320343017578
2019-05-24,88.95869445800781
2019-05-27,89.5416259765625
2019-05-28,89.11896514892578
2019-05-29,88.20085906982422
2019-05-31,87.90937042236328
2019-06-03,88.33197021484375
2019-06-04,88.41943359375
2019-06-05,88.92955017089844
2019-06-06,89.133544921875
2019-06-07,89.83309936523438
2019-06-11,90.5180892944336
2019-06-12,90.91156768798828
2019-06-13,90.63465118408203
2019-06-14,90.59097290039062
2019-06-17,90.7366943359375
2019-06-18,91.93171691894531
2019-06-19,91.45079803466797
2019-06-20,91.81511688232422
2019-06-21,91.37793731689453
2019-06-24,91.01358795166016
2019-06-25,90.95531463623047
2019-06-26,90.82415008544922
2019-06-27,90.69296264648438
2019-06-28,91.0864486694336
2019-07-01,91.93171691894531
2019-07-02,92.5875473022461
2019-07-03,92.6895523071289
2019-07-04,92.86446380615234
2019-07-05,91.91718292236328
2019-07-08,91.94632720947266
2019-07-09,91.74227905273438
2019-07-10,91.5673828125
2019-07-11,91.11560821533203
2019-07-12,90.284912109375
2019-07-15,90.63465118408203
2019-07-16,91.03052520751953
2019-07-17,91.54364776611328
2019-07-18,92.05679321289062
2019-07-19,91.61695098876953
2019-07-22,91.57295989990234
2019-07-23,92.14476013183594
2019-07-24,91.58763122558594
2019-07-25,91.52899932861328
2019-07-26,92.2914047241211
2019-07-29,92.2473373413086
2019-07-30,91.47034454345703
2019-07-31,92.04212951660156
2019-08-02,90.64934539794922
2019-08-05,89.24185943603516
2019-08-06,88.6407699584961
2019-08-07,88.6260757446289
2019-08-08,90.44408416748047
2019-08-09,90.53202056884766
2019-08-12,90.53202056884766
2019-08-13,90.64934539794922
2019-08-14,89.08058166503906
2019-08-15,88.69940948486328
2019-08-16,90.04823303222656
2019-08-19,91.08914947509766
2019-08-20,90.35610961914062
2019-08-21,91.33837127685547
2019-08-22,90.92788696289062
2019-08-23,90.41474914550781
2019-08-26,90.16552734375
2019-08-27,90.62003326416016
2019-08-28,90.44408416748047
2019-08-29,91.29443359375
2019-08-30,91.82220458984375
2019-09-02,92.08613586425781
2019-09-03,91.41173553466797
2019-09-04,91.92484283447266
2019-09-05,92.731201171875
2019-09-06,93.49357604980469
2019-09-09,93.1856689453125
2019-09-10,92.5992202758789
2019-09-11,93.40559387207031
2019-09-12,93.30294799804688
2019-09-13,92.74585723876953
2019-09-16,92.14476013183594
2019-09-17,92.43800354003906
